㐀,キュウ おか
㦰,セン
㦱,ガ
㦲,サイ
㦴,カク キャク
㦵,チュ
㦶,ヨウ ユ たけだけしい
㦷,ユウ
㦸,ゲキ
㦹,ヨウ
㦺,ジョク ニク
㦻,シュウ
㦼,ソウ
㦽,イク
㦾,イ
㦿,カン ケン コ
㧀,キュウ ゴウ
㧁,キョ コ コウ ゴウ
㧂,テン
㧃,シュウ キュウ ク
㧄,グ ケン コン キュウ
㧅,ボク なた
㧆,キン コン
㧇,ボウ モウ
㧈,イン
㧉,カイ ゲツ ゴチ コツ ケツ ケチ
㧊,ハツ ハチ バチ
㧋,ケン
㧌,ボウ モウ
㧍,ボウ ホウ
㧎,ガ ゲ カ ケ
㧒,ケツ ゲツ イツ イチ ウツ ウチ
㧓,カ ケ ワ
㧔,カイ ケ
㧕,リュウ ル
㧖,ヤク おさえる
㧗,シ セイ サイ
㧘,シ ジ キ ギ ヒ サイ セ
㧙,ヒツ ヒ ベチ ヒチ ヘツ ビ
㧞,バツ ぬく
㧡,イ カイ ガイ キ ケ
㧢,イン
㧣,シュ
㧤,シュウ ジュ
㧥,セン
㧦,ケン コウ キョウ
㧧,ソ
㧨,キュウ
㧩,ハイ バイ
㧪,キ ギ
㧫,ボ ジ ニ ゼン ネン ズイ
㧬,キョウ ク
㧭,キョウ グ
㧮,コツ コチ
㧯,ロウ
㧲,サン
㧳,タイ テ ハイ ヘ
㧴,ガ
㧶,コウ キョウ
㧷,トン
㧸,ホウ ヒョウ
㧹,トク
㧺,トウ ドウ
㧻,タク ソク トク
㧼,ヒョウ
㧽,コ
㧾,コツ コチ
㧿,ソウ
㨀,ヘイ
㨁,チ ジ ショク ジキ
㨂,カン トウ ツ えらぶ
㨃,タイ テ トウ ジョウ
㨄,チョウ ジョウ
㨅,ゼイ ネ ジ ニ ジョウ ニョウ
㨆,リン ラン
㨇,ハン
